1,Yoselin,43777,h. players,karen@hotmail.com,Potosi,habilitado
2,colegio "arce",6245632,arce nro 12,cole@hotmail.com,Sucre,habilitado
3,delegacion Lapaz,654123,Uyustus s/n,dele@hotmail.com,La Paz,habilitado
4,yos,nose,nosew,nose,nose,ooo
5,yosita,72418533,bustillos s/n,karen15_o@hotmail.com,jhkjh,jkj
6,kjkjklj,kljkj,kjkj,kljlkj,kjlkj,lkjlkj
14,los pinos,26243777,ballivian,los@hotmail.com,potosi,habilitado
16,entel,72145214,arce s/n,karen15_o@hotmail.com,Potosi,activo
18,KLJKJj,kjhkj,jkhkjh,jhjk,kjhkj,kjhkjh
19,yoy,yoyo,tyoyo,otto,otot,otot
20,yoselin,6521452,h players nro 12,kare@hotmail.com,potosi,bueno
21,juan,654125,bustiillos nro 45,hola@hotmail.com,potosi,sip
22,llllllllllllL,LLLLL,LLLLL,LLLL,LLLLLLL,LLLLLL
23,pedro,72451422,h.players,pedro@hotmail.com,potosi,si
24,pedro,745125412,h.players,pedro@hotmail.com,potosi,activo
25,yoselin,6521452,h players nro 12,kare@hotmail.com,potosi,bueno
26,juan,654125,bustiillos nro 45,hola@hotmail.com,potosi,sip
